species,yolo_confidence,recent_detections,historical_conflicts,settlement_proximity,temporal_pattern,environmental_context,spatial_relationship,risk_score
Tiger,73.91,9,3,0,0,2,0,42.64
Spotted Deer,77.44,12,0,2,2,0,0,39.01
Tiger,97.66,19,2,1,2,1,1,73.89
Asian Elephant,74.72,18,6,2,0,0,2,78.79
Spotted Deer,70.07,5,0,1,2,0,1,33.56
Tiger,69.5,2,1,2,1,1,0,42.81
Leopard,77.85,7,1,0,2,1,1,40.65
Asian Elephant,89.62,10,3,2,0,0,1,54.39
Asian Elephant,68.03,15,2,2,0,1,2,63.89
Asian Elephant,87.66,7,5,2,0,0,1,57.81
Leopard,60.82,5,2,2,1,2,1,53.15
Leopard,76.34,15,2,0,0,2,2,52.38
Wild Boar,90.26,20,2,1,0,1,2,61.11
Tiger,73.21,20,3,2,2,1,0,68.97
Wild Boar,81.99,15,0,2,1,2,2,62.61
Tiger,67.99,10,3,2,2,0,1,64.08
Leopard,88.94,14,5,0,0,0,0,42.75
Leopard,62.04,10,0,1,0,0,0,26.14
Wild Boar,93.25,17,5,1,1,1,0,64.65
Spotted Deer,67.73,14,4,2,0,0,0,46.22
Wild Boar,94.1,2,4,2,1,1,1,55.76
Tiger,73.75,16,6,1,2,1,1,76.65
Wild Boar,88.18,13,6,2,1,1,1,73.06
Asian Elephant,72.45,9,0,2,2,2,1,58.93
Tiger,95.33,7,3,2,0,0,0,48.08
Tiger,64.94,16,5,0,2,1,1,63.02
Spotted Deer,66.96,10,5,0,2,0,0,39.89
Leopard,79.23,9,6,1,2,2,2,76.93
Tiger,63.2,7,6,0,1,0,1,49.87
Leopard,67.64,16,1,0,2,2,2,62.34
Wild Boar,96.81,9,5,1,1,1,2,65.4
Asian Elephant,98.08,17,3,0,1,1,1,57.09
Spotted Deer,74.67,20,1,1,1,2,0,51.18
Leopard,96.01,7,3,2,0,1,2,58.89
Tiger,81.25,11,2,1,0,0,1,46.29
Leopard,70.52,8,5,1,0,0,2,53.33
Tiger,87.39,7,2,1,1,2,2,61.59
Leopard,85.7,19,4,2,0,0,1,65.34
Tiger,98.58,20,4,2,2,1,2,90.93
Wild Boar,70.34,12,0,2,1,1,0,45.98
Tiger,86.21,7,5,1,0,1,0,53.52
Tiger,62.03,8,6,1,1,0,2,61.24
Asian Elephant,64.43,7,1,1,0,1,2,46.02
Tiger,60.15,6,2,1,2,0,1,43.98
Asian Elephant,98.98,9,3,1,1,2,0,57.82
Spotted Deer,91.29,13,5,1,0,1,2,59.51
Asian Elephant,90.68,7,0,1,0,2,0,36.51
Wild Boar,79.88,8,3,0,2,0,2,49.61
Asian Elephant,71.7,17,2,2,2,0,1,61.54
Spotted Deer,65.9,17,5,0,0,2,1,55.67
Wild Boar,71.1,16,6,2,0,1,0,68.94
Leopard,74.66,2,2,1,1,1,0,36.72
Leopard,89.5,8,5,0,1,1,2,55.39
Asian Elephant,81.05,17,5,1,0,2,2,72.71
Asian Elephant,63.02,13,2,0,2,0,2,52.0
Spotted Deer,60.7,18,2,0,1,2,0,42.11
Spotted Deer,63.99,10,3,1,0,0,1,30.14
Tiger,76.01,2,0,0,2,1,1,36.82
Spotted Deer,96.39,2,2,0,2,1,0,33.12
Tiger,84.86,14,4,2,0,0,1,63.55
Wild Boar,91.27,16,0,1,0,1,0,40.86
Asian Elephant,78.19,7,4,1,1,2,2,68.37
Wild Boar,74.1,12,3,0,0,0,0,30.39
Spotted Deer,64.23,14,2,1,1,1,1,50.15
Wild Boar,94.16,4,0,2,2,1,0,45.07
Wild Boar,90.54,4,6,2,1,1,0,62.17
Wild Boar,66.56,18,2,1,0,1,0,44.72
Spotted Deer,79.98,3,5,1,1,0,0,41.8
Wild Boar,79.01,1,2,2,2,0,1,48.4
Tiger,84.38,17,6,1,2,1,2,84.43
Spotted Deer,96.9,7,0,0,0,2,1,27.33
Wild Boar,82.61,16,2,1,1,2,1,60.48
Spotted Deer,81.07,5,2,0,0,2,2,35.73
Leopard,61.96,19,1,2,0,2,1,62.47
Tiger,62.45,7,1,1,2,0,2,51.47
Wild Boar,67.31,14,0,2,1,0,2,54.02
Leopard,61.27,2,0,1,0,2,0,29.74
Leopard,88.99,3,5,0,2,0,1,47.54
Spotted Deer,88.21,17,5,1,0,2,2,70.43
Leopard,65.31,16,2,2,1,1,1,65.23
Tiger,92.61,8,4,0,0,1,1,45.41
Tiger,66.04,18,0,1,1,2,2,66.8
Asian Elephant,71.75,15,6,2,2,0,0,73.96
Tiger,69.71,7,2,2,2,2,2,70.21
Leopard,74.52,9,4,1,0,0,0,36.94
Tiger,69.93,6,1,2,2,1,2,65.02
Spotted Deer,79.07,18,5,0,0,0,2,50.52
Asian Elephant,75.89,18,6,1,0,2,0,66.63
Leopard,98.48,14,0,0,1,1,0,38.56
Asian Elephant,62.18,14,2,2,0,1,1,58.32
Leopard,65.55,14,1,2,1,0,2,52.98
Spotted Deer,62.06,4,3,2,0,1,1,42.52
Asian Elephant,84.41,4,1,0,1,1,1,35.58
Wild Boar,62.13,15,2,2,2,0,0,56.93
Leopard,92.62,15,5,1,0,1,0,59.01
Wild Boar,79.97,18,4,1,1,2,1,70.03
Asian Elephant,80.55,14,6,2,0,0,0,60.75
Wild Boar,81.9,1,6,1,1,0,2,54.65
Wild Boar,66.66,10,3,0,1,0,0,31.88
Asian Elephant,67.71,20,6,0,0,0,0,50.77
Spotted Deer,72.43,10,3,2,0,2,2,60.74
Wild Boar,83.15,10,5,1,2,0,0,54.3
Wild Boar,68.19,2,3,1,2,2,1,53.18
Spotted Deer,64.54,8,0,2,2,0,1,44.21
Wild Boar,97.83,1,2,0,0,0,1,23.79
Wild Boar,60.86,1,6,2,2,1,0,56.03
Wild Boar,91.31,4,3,1,1,1,0,40.7
Tiger,90.73,7,1,1,0,2,0,41.52
Spotted Deer,71.59,9,4,2,1,1,1,60.03
Wild Boar,65.29,16,2,0,1,0,0,36.65
Spotted Deer,65.68,5,5,0,1,2,2,52.54
Leopard,87.2,2,6,2,0,1,0,56.27
Leopard,85.07,11,1,1,0,0,1,38.65
Wild Boar,90.53,18,0,0,2,1,2,57.17
Spotted Deer,96.56,19,3,2,2,1,2,75.31
Spotted Deer,86.99,13,1,1,2,1,1,54.32
Spotted Deer,66.08,11,2,0,2,1,2,46.69
Tiger,69.49,20,6,0,1,0,2,71.79
Leopard,92.85,19,1,2,0,1,2,63.45
Spotted Deer,68.16,17,0,1,2,2,2,57.68
Spotted Deer,62.83,5,4,0,1,2,2,43.49
Tiger,87.43,13,3,2,0,1,0,60.6
Tiger,75.7,20,2,0,0,2,1,56.19
Spotted Deer,95.88,1,6,1,0,1,1,50.13
Asian Elephant,85.36,10,3,0,1,0,0,37.28
Spotted Deer,63.53,8,3,1,2,0,0,41.63
Spotted Deer,96.97,8,5,0,0,2,1,47.57
Tiger,70.08,19,3,0,1,2,1,62.11
Tiger,73.15,6,1,2,0,1,0,42.44
Spotted Deer,75.69,12,1,0,1,1,0,28.65
Spotted Deer,62.0,7,4,1,2,1,2,56.84
Spotted Deer,79.36,16,0,2,2,0,0,46.91
Tiger,64.81,9,6,1,0,1,0,50.97
Spotted Deer,75.64,10,6,1,2,0,2,57.48
Spotted Deer,73.68,10,2,2,2,2,2,65.79
Wild Boar,90.14,10,1,1,1,0,1,44.02
Asian Elephant,91.32,20,3,0,1,2,1,64.46
Leopard,65.98,16,0,2,0,0,0,38.16
Asian Elephant,74.3,1,2,0,1,0,2,30.95
Wild Boar,74.56,17,6,0,2,1,2,73.18
Leopard,65.91,14,2,1,1,2,1,54.62
Spotted Deer,91.14,19,2,1,2,0,1,56.68
Wild Boar,87.58,17,6,0,0,0,0,48.67
Spotted Deer,67.42,14,2,2,2,2,2,72.89
Tiger,74.3,8,4,0,1,0,1,43.91
Wild Boar,64.13,9,2,0,1,2,0,40.07
Tiger,84.5,8,0,1,1,2,0,48.44
Wild Boar,64.73,13,1,1,1,2,0,43.77
Wild Boar,98.45,17,0,0,0,0,1,34.2
Tiger,90.45,19,3,0,2,0,1,59.82
Leopard,75.22,7,5,1,1,1,1,54.99
Asian Elephant,82.56,17,4,0,2,2,1,68.75
Spotted Deer,95.54,1,4,1,0,0,1,32.05
Wild Boar,81.61,5,3,0,2,0,2,45.53
Spotted Deer,66.81,6,6,2,1,2,2,74.22
Tiger,74.77,2,0,2,2,2,2,60.49
Spotted Deer,92.88,16,0,0,1,2,2,48.03
Tiger,85.12,5,3,1,1,1,0,50.55
Spotted Deer,85.38,5,6,0,0,1,0,38.77
Asian Elephant,93.81,12,5,0,0,1,2,56.77
Asian Elephant,94.86,3,2,1,2,2,1,58.01
Asian Elephant,95.87,16,6,0,2,0,2,64.69
Asian Elephant,63.7,6,2,1,1,2,2,53.63
Asian Elephant,81.22,15,1,0,1,0,0,38.19
Asian Elephant,88.88,15,0,1,1,1,1,50.18
Tiger,89.52,16,0,0,1,1,0,41.38
Wild Boar,83.66,20,3,2,0,1,1,63.18
Spotted Deer,66.5,13,3,1,1,0,0,37.16
Asian Elephant,91.1,12,2,2,0,0,2,52.66
Tiger,88.08,10,6,1,2,2,1,77.37
Tiger,63.36,14,0,1,2,2,0,54.86
Tiger,78.09,2,0,1,0,2,2,44.31
Wild Boar,66.79,3,4,1,1,1,0,40.04
Spotted Deer,73.16,9,1,0,2,2,0,34.16
Wild Boar,60.71,11,1,0,0,1,0,25.68
Leopard,75.61,11,2,1,2,0,2,53.51
Tiger,81.45,10,5,0,1,1,1,54.88
Leopard,84.16,14,6,1,0,1,0,58.86
Asian Elephant,85.88,9,0,1,2,1,2,53.07
Asian Elephant,92.62,20,4,2,1,0,0,70.09
Wild Boar,68.4,10,6,1,0,0,1,48.49
Spotted Deer,64.7,9,0,1,0,2,0,28.89
Leopard,93.21,5,3,0,0,2,2,49.96
Spotted Deer,66.11,8,6,1,0,2,0,50.66
Wild Boar,98.02,11,2,1,2,0,0,48.07
Asian Elephant,92.86,1,6,2,0,0,1,53.94
Spotted Deer,79.53,10,5,0,0,0,1,38.34
Spotted Deer,98.28,1,6,0,0,0,1,35.49
Asian Elephant,63.8,7,6,2,0,0,0,53.37
Leopard,71.82,14,6,1,0,1,2,66.95
Asian Elephant,84.89,5,1,2,1,2,0,52.68
Spotted Deer,73.65,17,0,0,2,1,0,36.6
Leopard,96.21,6,5,2,1,2,0,67.12
Leopard,62.56,16,2,0,2,1,0,47.14
Asian Elephant,81.43,11,1,2,0,0,1,44.06
Spotted Deer,83.04,10,0,1,2,2,1,47.29
Wild Boar,85.46,15,4,1,0,1,1,60.26
Spotted Deer,69.97,7,2,0,0,2,1,29.07
Tiger,74.22,2,0,2,1,0,2,48.93
Wild Boar,92.9,12,1,0,1,0,0,32.8
Leopard,67.6,19,1,1,1,2,0,54.88
Wild Boar,92.25,12,4,0,2,2,0,53.11
Leopard,81.94,16,2,1,2,0,2,61.98
Leopard,89.73,6,2,0,1,0,2,38.98
Wild Boar,87.83,3,5,2,1,0,1,57.61
Leopard,68.09,2,0,1,0,1,0,23.2
Leopard,82.18,20,5,0,2,2,0,67.96
Tiger,93.84,5,1,1,0,0,2,42.66
Spotted Deer,76.85,11,1,2,2,2,0,53.2
Spotted Deer,97.7,3,6,1,1,1,2,60.25
Tiger,77.64,3,4,2,2,1,1,65.0
Wild Boar,65.57,5,4,1,2,0,2,49.79
Asian Elephant,75.19,11,2,2,0,2,0,54.92
Asian Elephant,97.12,3,5,1,1,1,2,63.54
Asian Elephant,72.47,13,1,2,1,2,2,70.81
Tiger,93.86,8,6,0,1,2,1,65.45
Tiger,94.37,20,0,0,0,0,0,38.71
Leopard,73.66,10,6,1,0,1,0,54.23
Asian Elephant,63.25,2,3,2,0,1,1,45.5
Wild Boar,88.26,4,0,0,2,1,2,38.06
Wild Boar,72.15,18,4,1,2,2,2,72.79
Asian Elephant,90.53,19,0,0,0,1,0,37.48
Asian Elephant,77.26,4,1,2,0,1,2,50.85
Asian Elephant,78.93,20,5,1,1,2,1,73.44
Tiger,90.34,9,6,2,2,1,0,77.48
Tiger,74.91,16,2,2,2,1,2,76.37
Tiger,77.28,6,5,2,1,2,1,70.09
Spotted Deer,74.67,4,3,0,1,1,1,30.72
Wild Boar,74.33,9,2,1,1,0,0,40.33
Wild Boar,80.51,13,3,2,0,2,0,59.99
Leopard,91.54,9,3,0,0,1,2,46.24
Tiger,74.11,6,1,2,0,0,2,50.0
Spotted Deer,80.45,19,1,0,0,2,2,47.54
Spotted Deer,86.16,14,4,1,0,1,1,49.98
Wild Boar,70.51,15,4,1,2,2,1,67.87
Tiger,70.82,3,3,1,2,0,2,53.42
Leopard,96.4,5,5,1,2,2,0,62.04
Tiger,88.22,18,4,2,1,1,1,77.07
Asian Elephant,82.51,14,1,0,2,0,1,48.44
Tiger,85.26,16,4,1,1,2,2,81.63
Asian Elephant,61.14,14,3,2,2,1,0,61.74
Asian Elephant,84.11,9,6,1,0,1,1,60.51
Leopard,79.87,15,2,1,2,0,0,51.13
Wild Boar,81.28,7,5,1,0,0,1,46.96
Tiger,74.02,14,5,0,0,2,0,53.56
Asian Elephant,63.18,6,0,0,2,1,0,32.5
Tiger,67.54,15,4,0,2,0,1,53.54
Wild Boar,97.08,20,5,1,0,1,0,67.68
Wild Boar,75.94,8,6,2,1,2,1,72.62
Spotted Deer,78.2,2,6,2,1,0,1,53.79
Wild Boar,62.06,8,1,2,2,2,0,51.36
Leopard,61.47,1,2,1,0,2,1,37.96
Asian Elephant,87.97,17,1,0,1,0,0,35.98
Spotted Deer,80.99,19,4,2,2,2,1,80.94
Leopard,79.84,5,3,1,2,1,0,46.82
Tiger,69.48,20,6,1,0,0,1,65.34
Asian Elephant,89.05,16,6,2,1,1,1,79.43
Wild Boar,66.56,7,0,2,2,2,2,60.79
Asian Elephant,67.41,7,0,1,1,0,1,32.86
Tiger,77.97,18,6,2,2,1,1,89.02
Spotted Deer,71.16,18,2,1,2,1,0,54.09
Spotted Deer,69.65,2,5,2,1,1,0,46.58
Spotted Deer,85.16,15,5,0,1,1,0,47.82
Wild Boar,85.39,14,6,1,0,1,0,58.01
Leopard,92.16,18,5,0,0,2,2,68.3
Leopard,76.29,9,0,2,0,2,2,53.09
Asian Elephant,62.85,14,3,1,0,2,0,53.27
Wild Boar,70.67,5,5,2,1,2,0,63.06
Spotted Deer,98.22,11,1,1,0,2,0,42.75
Spotted Deer,83.25,8,6,2,1,2,0,65.13
Tiger,87.68,5,5,0,2,2,1,63.75
Tiger,60.29,11,3,0,1,1,0,42.26
Spotted Deer,80.21,5,6,2,0,2,1,58.76
Spotted Deer,61.46,17,2,0,1,1,0,36.72
Wild Boar,82.2,4,2,0,1,0,2,40.04
Leopard,95.91,15,0,2,1,2,2,67.54
Tiger,97.77,19,3,1,1,1,0,64.21
Leopard,81.08,2,1,2,1,0,2,47.79
Wild Boar,77.87,17,3,1,0,0,2,53.04
Spotted Deer,96.86,12,1,0,1,1,2,46.03
Leopard,86.27,17,1,0,0,1,2,50.88
Spotted Deer,62.53,10,3,0,2,1,1,48.66
Spotted Deer,78.16,18,6,0,1,2,1,61.73
Asian Elephant,69.37,19,4,0,2,0,1,59.35
Leopard,78.32,18,3,1,0,2,1,62.03
Leopard,77.76,13,6,1,1,2,0,65.4
Spotted Deer,82.7,14,1,1,2,2,2,59.41
Wild Boar,73.91,16,6,2,0,0,2,70.12
Asian Elephant,66.41,18,6,0,2,0,0,57.89
Spotted Deer,79.65,18,5,0,1,0,0,43.23
Tiger,92.38,16,2,0,1,1,1,54.06
Tiger,85.9,17,2,2,1,2,1,71.77
Asian Elephant,73.2,7,0,2,0,1,2,47.76
Wild Boar,96.49,12,2,2,2,1,0,61.07
Spotted Deer,95.58,2,4,0,0,2,2,42.62
Leopard,68.16,10,1,1,2,0,0,40.37
Asian Elephant,61.54,5,3,2,0,2,1,58.81
Wild Boar,88.91,3,3,2,1,1,2,61.51
Leopard,92.28,19,4,1,2,0,2,73.14
Tiger,97.75,13,2,2,2,0,0,59.48
Tiger,94.7,12,1,1,2,1,2,65.9
Leopard,83.42,3,2,0,0,0,1,31.72
Asian Elephant,80.67,6,6,1,1,0,2,63.88
Tiger,61.09,14,0,1,2,2,0,51.04
Spotted Deer,69.62,4,2,0,0,2,2,34.5
Leopard,77.92,13,0,2,2,1,1,57.83
Leopard,84.51,19,3,0,1,1,0,49.29
Tiger,81.73,18,1,2,2,1,0,68.39
Asian Elephant,88.96,3,5,2,1,0,1,60.61
Spotted Deer,70.91,20,6,1,0,1,0,60.45
Asian Elephant,82.03,6,0,0,0,2,0,30.18
Wild Boar,63.44,16,2,1,1,0,2,52.52
Wild Boar,76.13,20,6,0,1,1,0,59.44
Tiger,89.26,3,2,0,0,0,2,33.61
Tiger,87.04,12,6,1,1,0,1,67.71
Tiger,98.64,19,3,2,1,0,1,69.47
Wild Boar,70.84,19,4,2,2,1,1,74.91
Asian Elephant,79.43,4,6,0,0,0,1,40.88
Asian Elephant,72.85,1,5,2,0,0,0,38.17
Tiger,77.18,2,4,1,1,0,0,43.77
Spotted Deer,93.42,13,2,1,1,2,2,57.56
Asian Elephant,86.68,13,4,1,1,1,2,68.63
Wild Boar,94.42,2,6,0,0,2,2,52.52
Leopard,67.94,19,5,0,2,0,0,54.77
Leopard,94.06,16,5,2,0,0,2,68.81
Leopard,62.33,12,1,1,2,2,0,54.91
Spotted Deer,94.66,1,4,1,1,0,1,42.5
Tiger,72.83,9,1,0,0,2,0,37.98
Wild Boar,72.27,17,2,0,2,0,1,47.77
Spotted Deer,79.97,10,2,0,0,0,2,32.5
Wild Boar,96.69,18,2,1,2,0,0,56.04
Wild Boar,61.86,19,3,1,2,0,2,63.49
Tiger,73.74,7,4,2,0,1,2,66.73
Leopard,93.41,19,0,1,1,1,1,52.86
Tiger,75.45,15,5,2,0,1,2,77.61
Spotted Deer,67.77,9,0,2,1,2,0,45.57
Spotted Deer,76.57,10,2,1,2,2,2,57.09
Spotted Deer,75.04,20,6,2,2,2,1,83.25
Tiger,95.7,20,6,2,0,2,1,86.49
Wild Boar,89.72,4,4,0,0,1,2,43.99
Wild Boar,79.7,6,6,1,1,2,1,61.79
Asian Elephant,98.55,4,1,2,1,2,2,62.46
Spotted Deer,78.15,5,0,2,0,2,1,36.19
Wild Boar,62.27,9,6,2,1,0,2,67.82
Asian Elephant,70.23,12,2,1,1,2,2,64.1
Wild Boar,77.01,8,0,0,0,0,0,20.22
Spotted Deer,66.12,5,0,0,0,2,0,19.93
Leopard,96.96,11,5,1,2,2,2,78.16
Spotted Deer,89.91,11,0,1,2,0,0,33.31
Tiger,70.46,13,2,1,0,2,0,48.88
Wild Boar,83.04,14,5,1,2,0,1,62.94
Wild Boar,88.14,8,2,0,1,2,0,38.58
Tiger,96.71,18,3,2,0,2,1,73.17
Tiger,94.38,19,6,2,2,0,0,80.33
Leopard,80.09,12,3,1,0,1,0,42.85
Wild Boar,90.21,12,6,1,2,0,2,68.39
Wild Boar,81.92,18,3,2,0,1,0,58.25
Leopard,81.56,10,0,0,1,0,2,37.3
Asian Elephant,64.47,7,4,1,2,1,2,65.14
Leopard,64.92,18,2,1,0,2,2,62.11
Spotted Deer,80.65,12,3,0,1,1,2,47.71
Wild Boar,70.49,14,4,0,2,2,0,56.95
Tiger,60.82,15,3,0,2,0,2,57.49
Spotted Deer,88.19,16,6,1,0,1,0,53.17
Wild Boar,61.27,2,3,0,1,2,0,32.56
Leopard,83.22,18,4,1,0,0,1,59.16
Spotted Deer,81.03,12,3,1,2,1,1,61.63
Wild Boar,97.78,16,0,0,0,2,1,44.32
Asian Elephant,78.88,13,0,2,0,1,2,53.4
Asian Elephant,62.48,20,5,0,1,1,0,60.78
Tiger,81.52,17,0,2,1,2,0,60.9
Wild Boar,92.8,18,1,0,2,2,2,63.39
Asian Elephant,98.88,3,5,0,1,0,1,44.61
Leopard,76.78,10,3,1,0,2,1,54.02
Wild Boar,72.49,1,1,1,2,2,0,39.55
Leopard,95.36,6,2,1,1,1,0,46.3
Leopard,67.46,3,4,1,0,2,0,43.42
Asian Elephant,84.0,19,2,1,0,1,1,57.47
Wild Boar,75.82,4,1,1,2,1,0,40.04
Spotted Deer,61.6,20,0,1,2,2,1,55.48
Asian Elephant,73.54,3,6,2,1,2,1,66.73
Asian Elephant,70.34,8,3,2,1,2,1,62.67
Wild Boar,86.76,8,5,1,1,2,2,69.02
Wild Boar,97.0,7,6,2,1,0,2,69.36
Leopard,70.45,2,6,0,2,1,0,45.71
Wild Boar,91.65,6,3,2,0,0,1,47.14
Leopard,62.16,16,0,1,0,0,0,33.2
Asian Elephant,80.99,10,3,2,1,1,1,63.86
Tiger,62.75,4,4,0,2,0,0,43.33
Spotted Deer,96.43,13,6,2,1,2,0,66.1
Asian Elephant,89.89,10,4,1,1,2,2,72.09
Wild Boar,85.66,14,4,0,2,2,2,68.06
Spotted Deer,92.13,9,2,0,0,2,2,40.73
Tiger,85.25,11,0,2,0,1,2,56.57
Tiger,97.79,18,4,0,1,2,1,71.07
Leopard,87.84,11,1,0,2,1,0,45.39
Spotted Deer,96.06,17,4,0,0,1,0,40.91
Leopard,80.17,2,5,1,0,1,1,46.06
Asian Elephant,64.57,3,2,0,2,1,1,37.67
Spotted Deer,80.6,11,1,2,2,0,0,45.44
Asian Elephant,64.95,18,6,2,0,0,2,74.2
Leopard,83.11,3,0,0,1,2,2,41.94
Spotted Deer,78.82,15,0,2,1,1,2,56.3
Leopard,84.28,11,5,0,0,2,1,56.57
Spotted Deer,60.39,11,6,2,1,2,0,61.28
Leopard,67.6,20,4,0,1,2,1,66.81
Tiger,79.16,11,1,0,2,2,0,51.38
Leopard,97.07,19,5,0,2,1,2,73.36
Tiger,74.96,1,1,1,2,1,2,49.18
Leopard,76.55,5,4,2,1,0,2,60.95
Spotted Deer,87.87,10,6,0,2,1,0,48.45
Spotted Deer,83.55,10,4,1,2,1,2,60.38
Spotted Deer,71.66,14,3,1,0,2,0,43.94
Wild Boar,76.02,2,3,0,2,1,1,40.86
Asian Elephant,68.49,4,4,0,0,2,2,47.53
Spotted Deer,97.67,2,2,0,1,1,1,29.93
Tiger,65.09,18,5,0,2,0,1,60.55
Spotted Deer,74.5,13,3,0,0,2,0,36.58
Wild Boar,61.01,19,4,2,0,1,1,62.08
Tiger,68.65,5,1,0,0,1,0,27.53
Wild Boar,90.44,20,5,0,1,2,0,64.82
Tiger,67.85,2,6,2,2,0,1,65.81
Leopard,63.12,11,3,1,1,0,0,45.67
Asian Elephant,78.5,18,6,2,0,1,0,68.69
Asian Elephant,60.39,6,2,1,1,1,0,38.72
Wild Boar,63.31,10,5,1,1,1,1,57.48
Asian Elephant,91.5,17,5,2,0,2,0,73.85
Wild Boar,90.09,11,0,0,2,2,2,51.89
Wild Boar,95.69,19,1,1,2,2,1,66.36
Wild Boar,93.33,17,2,0,1,1,1,47.81
Asian Elephant,86.64,4,2,2,2,0,0,43.76
Wild Boar,62.04,14,6,1,0,2,1,64.88
Asian Elephant,90.53,20,2,0,2,0,2,62.54
Wild Boar,92.97,4,1,1,1,1,1,40.19
Spotted Deer,91.16,14,2,1,0,2,1,49.06
Wild Boar,79.83,4,0,2,0,2,1,42.22
Tiger,69.08,6,3,0,0,2,0,38.41
Wild Boar,92.97,9,1,0,1,1,2,45.57
Leopard,88.36,12,2,1,1,1,2,56.93
Wild Boar,98.25,8,4,0,2,1,2,59.53
Tiger,66.07,4,3,1,1,0,1,43.28
Tiger,68.8,5,6,2,0,0,2,59.14
Asian Elephant,68.26,6,5,2,1,2,0,63.04
Spotted Deer,90.91,5,1,0,1,2,1,38.57
Wild Boar,67.29,19,4,2,2,1,0,68.9
Asian Elephant,62.6,8,5,2,0,1,1,59.53
Spotted Deer,98.94,9,4,0,2,1,0,45.34
Wild Boar,60.97,15,2,1,2,2,1,61.69
Leopard,92.57,4,1,2,2,1,0,53.59
Wild Boar,74.25,9,6,0,0,0,2,46.24
Tiger,92.82,7,2,0,2,0,1,44.9
Tiger,81.63,8,5,0,0,2,1,55.96
Leopard,95.16,15,6,2,2,2,0,82.08
Asian Elephant,96.12,19,0,2,2,0,0,58.78
Spotted Deer,60.35,15,4,1,0,1,0,45.84
Wild Boar,62.94,5,0,1,1,2,1,38.84
Tiger,69.76,19,5,1,2,2,0,76.07
Asian Elephant,86.1,7,2,1,1,2,2,57.21
Leopard,94.64,6,6,1,2,0,0,58.84
Tiger,77.94,19,6,1,1,2,0,76.12
Leopard,83.67,17,6,0,1,0,0,53.18
Wild Boar,67.35,10,3,1,1,0,2,49.83
Spotted Deer,91.39,19,4,2,1,1,0,64.34
Tiger,97.73,11,3,1,1,1,0,56.01
Tiger,70.48,15,1,2,0,1,1,55.37
Wild Boar,79.3,10,4,1,1,2,1,59.16
Asian Elephant,63.36,11,0,0,0,0,0,20.9
Spotted Deer,81.81,3,3,0,2,2,1,44.1
Tiger,79.61,3,5,2,0,0,0,52.39
Spotted Deer,65.63,18,1,1,1,2,0,45.95
Tiger,77.24,11,4,0,0,0,2,45.24
Spotted Deer,73.03,20,6,0,1,1,0,57.47
Leopard,80.35,18,5,1,0,1,1,62.02
Tiger,82.84,15,1,2,2,2,1,76.2
Spotted Deer,60.33,7,0,2,1,0,1,37.53
Asian Elephant,89.68,10,6,2,1,1,1,74.89
Leopard,87.81,20,5,0,0,0,0,51.66
Leopard,74.29,10,4,1,0,2,2,58.0
Asian Elephant,62.06,13,1,0,0,1,2,38.89
Spotted Deer,89.44,15,2,0,0,2,0,39.01
Wild Boar,97.25,18,4,0,0,2,1,57.34
Asian Elephant,69.37,4,4,0,1,0,2,41.96
Spotted Deer,72.62,20,6,1,2,2,2,83.73
Asian Elephant,67.17,17,4,0,0,2,0,51.77
Asian Elephant,82.5,3,6,0,1,0,1,47.98
Tiger,66.04,2,4,2,2,0,2,62.36
Spotted Deer,73.89,4,2,0,2,2,0,35.41
Wild Boar,87.18,1,5,1,0,1,2,53.73
Tiger,81.84,15,5,0,1,1,2,63.9
Asian Elephant,75.07,1,5,1,1,0,1,46.93
Asian Elephant,76.39,6,0,1,1,2,1,43.85
Asian Elephant,81.92,7,2,1,1,1,2,57.37
Spotted Deer,60.23,19,2,2,1,0,1,58.51
Spotted Deer,63.06,12,1,2,2,0,2,54.15
Tiger,94.37,1,3,0,2,0,2,48.39
Wild Boar,63.04,7,5,0,2,2,2,60.85
Tiger,87.57,19,3,0,1,0,0,49.25
Leopard,95.88,13,1,1,2,1,1,57.6
Asian Elephant,70.56,12,2,1,2,2,1,59.82
Asian Elephant,74.45,12,1,1,0,1,2,51.01
Asian Elephant,82.19,13,4,0,2,1,1,57.21
Tiger,94.39,14,1,0,0,1,2,48.03
Tiger,96.73,12,1,0,1,2,1,52.11
Asian Elephant,88.84,20,6,0,1,1,1,67.17
Tiger,63.38,12,4,2,1,0,2,68.96
Spotted Deer,86.1,6,6,2,1,0,1,56.39
Spotted Deer,76.0,10,3,2,2,1,2,67.18
Tiger,78.36,20,4,0,0,0,0,45.94
Asian Elephant,61.92,9,0,2,1,2,2,58.91
Tiger,67.45,2,1,2,1,2,1,51.14
Tiger,90.83,7,1,0,0,0,0,28.25
Tiger,77.7,9,6,2,0,0,0,57.65
Leopard,71.76,12,3,0,0,2,2,51.39
Spotted Deer,74.98,5,6,0,0,1,0,34.54
Wild Boar,93.32,1,2,0,0,2,2,38.72
Wild Boar,89.21,15,4,1,2,1,1,67.39
Leopard,70.62,8,2,0,0,0,2,36.11
Tiger,64.58,1,0,2,2,0,0,38.28
Leopard,69.83,18,4,2,0,1,2,71.52
Leopard,95.91,13,0,0,0,1,2,35.39
Asian Elephant,82.68,1,0,1,1,2,1,40.5
Spotted Deer,80.81,5,0,1,1,1,2,41.03
Wild Boar,83.26,18,5,1,1,0,1,63.05
